pressureTimestamp,pressure
78844976,-241.586
78868992,-241.586
78898900,-202.906
78922900,-251.258
78946900,-241.586
78971064,-241.586
78994900,-251.258
79024900,-231.914
79048900,-222.242
79072900,-241.586
79096900,-222.242
79126904,-222.242
79151052,-251.258
79174900,-202.906
79198900,-222.242
79222904,-222.242
79222904,-222.242
79252996,-202.906
79276996,-251.258
79301156,-241.586
79324996,-231.914
79348996,-241.586
79378900,-241.586
79402904,-241.586
79426900,-241.586
79451056,-241.586
79474904,-231.914
79505064,-231.914
79528904,-241.586
79552904,-241.586
79576904,-251.258
79606904,-231.914
79631068,-241.586
79678904,-251.258
79702904,-241.586
79702904,-241.586
79732996,-241.586
79756996,-231.914
79781160,-202.906
79804996,-183.562
79828996,-241.586
79858904,-251.258
79882908,-241.586
79906912,-241.586
79931072,-173.898
79954908,-241.586
79984908,-241.586
80008908,-241.586
80032904,-241.586
80056908,-202.906
80086908,-241.586
80111068,-173.898
80134908,-241.586
80158908,-231.914
80182908,-241.586
80182908,-241.586
80213000,-231.914
80237000,-241.586
80261212,-251.258
80285028,-251.258
80309000,-231.914
80338908,-241.586
80362908,-251.258
80386908,-231.914
80411076,-241.586
80434908,-241.586
80464908,-173.898
80488908,-193.227
80512908,-212.57
80536908,-241.586
80566912,-202.906
80591064,-251.258
80614908,-202.906
80638912,-241.586
80662912,-202.906
80662912,-202.906
80693000,-183.562
80717000,-202.906
80741164,-241.586
80765000,-241.586
80789004,-231.914
80818912,-241.586
80842912,-202.906
80866912,-212.57
80891064,-222.242
80914912,-202.906
80944912,-212.57
80968912,-251.258
80992912,-251.258
81016912,-241.586
81046912,-231.914
81071076,-231.914
81094912,-241.586
81118912,-241.586
81142912,-241.586
81142912,-241.586
81173004,-241.586
81197004,-231.914
81221168,-231.914
81245004,-231.914
81269004,-251.258
81298920,-241.586
81322916,-222.242
81346912,-231.914
81371080,-212.57
81394916,-241.586
81424916,-231.914
81448916,-241.586
81472916,-202.906
81496916,-241.586
81526916,-231.914
81551080,-231.914
81574912,-251.258
81598916,-202.906
81622916,-241.586
81622916,-241.586
81653008,-251.258
81706916,-193.227
81731084,-241.586
81755172,-241.586
81784916,-241.586
81808916,-241.586
81832916,-231.914
81856916,-241.586
81886920,-183.562
81911080,-222.242
81934916,-212.57
81958920,-202.906
81982920,-251.258
81982920,-251.258
82013020,-241.586
82037008,-231.914
82061176,-231.914
82085008,-231.914
82109012,-231.914
82138920,-241.586
82162920,-241.586
82186920,-231.914
82211084,-241.586
82234920,-202.906
82264920,-241.586
82288920,-231.914
82312924,-241.586
82336920,-241.586
82366924,-241.586
82391084,-231.914
82414920,-231.914
82438924,-241.586
82462920,-231.914
82462920,-231.914
82493012,-222.242
82517012,-231.914
82541164,-193.227
82565012,-241.586
82589012,-241.586
82618924,-231.914
82666928,-231.914
82691108,-241.586
82714920,-231.914
82744924,-241.586
82768924,-251.258
82792924,-212.57
82816924,-193.227
82846924,-222.242
82871088,-241.586
82894924,-222.242
82918924,-231.914
82942924,-231.914
82942924,-231.914
82973016,-241.586
82997016,-202.906
83021188,-241.586
83045032,-241.586
83069016,-241.586
83098924,-241.586
83122924,-241.586
