pressureTimestamp,pressure,temperatureTimestamp,temperature
313752420,99237.4,313662408,34.36
313782420,99242.2,313767412,34.36
313797420,99242.6,313767412,34.36
313812420,99236.9,313767412,34.36
313827420,99240.2,313767412,34.36
313857420,99237.2,313767412,34.36
313857420,99237.2,313767412,34.36
313887420,99240.6,313872412,34.36
313902420,99238.4,313872412,34.36
313917420,99238.2,313872412,34.36
313932420,99238.4,313872412,34.36
313947420,99238.8,313872412,34.36
313947420,99238.8,313872412,34.36
313992420,99244.9,313977412,34.37
314007420,99239.6,313977412,34.37
314022420,99241.3,313977412,34.37
314037424,99240.8,313977412,34.37
314052440,99238.2,313977412,34.37
314052440,99238.2,313977412,34.37
314097436,99239.8,314067424,34.36
314112424,99242,314067424,34.36
314127424,99240.1,314067424,34.36
314142420,99240.8,314067424,34.36
314157424,99241.7,314067424,34.36
314157424,99241.7,314067424,34.36
314187420,99241.1,314172412,34.37
314217424,99237.6,314172412,34.37
314232420,99243.6,314172412,34.37
314247424,99237.5,314172412,34.37
314262420,99239.4,314172412,34.37
314262420,99239.4,314172412,34.37
314292424,99239.6,314277412,34.36
314307424,99240,314277412,34.36
314337424,99240.2,314277412,34.36
314352424,99239.8,314277412,34.36
314367424,99240.9,314277412,34.36
314367424,99240.9,314277412,34.36
314397424,99246.1,314382412,34.36
314412428,99237.4,314382412,34.36
314427428,99241.1,314382412,34.36
314457424,99234,314382412,34.36
314472424,99237.7,314382412,34.36
314472424,99237.7,314382412,34.36
314502424,99242.1,314487416,34.36
314517424,99241.9,314487416,34.36
314532424,99238.9,314487416,34.36
314547424,99236.6,314487416,34.36
314577424,99235.8,314487416,34.36
314577424,99235.8,314487416,34.36
314607424,99240.2,314592416,34.36
314622424,99238,314592416,34.36
314637428,99236.9,314592416,34.36
314652424,99236.3,314592416,34.36
314667424,99233.2,314592416,34.36
314667424,99233.2,314592416,34.36
314712424,99240.2,314697416,34.36
314727424,99237.8,314697416,34.36
314742424,99241.4,314697416,34.36
314757632,99238.2,314697416,34.36
314772444,99242.2,314697416,34.36
314772444,99242.2,314697416,34.36
314817428,99241.8,314787428,34.37
314832428,99241.2,314787428,34.37
314847428,99236,314787428,34.37
314862424,99236.6,314787428,34.37
314877424,99239.8,314787428,34.37
314877424,99239.8,314787428,34.37
314907424,99239,314892416,34.37
314937428,99240.6,314892416,34.37
314952428,99239.1,314892416,34.37
314967428,99240.4,314892416,34.37
314982428,99240.6,314892416,34.37
314982428,99240.6,314892416,34.37
315012428,99240.3,314997420,34.37
315027428,99240.2,314997420,34.37
315057428,99237.3,314997420,34.37
315072428,99238.2,314997420,34.37
315087444,99242.6,314997420,34.37
315087444,99242.6,314997420,34.37
315117444,99242.8,315102416,34.37
315132444,99240.3,315102416,34.37
315147440,99238.5,315102416,34.37
315177428,99238.1,315102416,34.37
315192428,99242.7,315102416,34.37
315192428,99242.7,315102416,34.37
315222428,99240.5,315207420,34.36
315237432,99240.2,315207420,34.36
315252428,99238.8,315207420,34.36
315267428,99238.3,315207420,34.36
315297428,99240.1,315207420,34.36
315297428,99240.1,315207420,34.36
315327428,99240.9,315312420,34.37
315342428,99240.1,315312420,34.37
315357428,99241,315312420,34.37
315372428,99239.2,315312420,34.37
315387428,99234.6,315312420,34.37
315387428,99234.6,315312420,34.37
315432444,99243.2,315417420,34.37
315447448,99241.6,315417420,34.37
315462432,99241.9,315417420,34.37
315477448,99244,315417420,34.37
315492432,99240.9,315417420,34.37
315492432,99240.9,315417420,34.37
315537428,99237.4,315507420,34.37
315552432,99239.6,315507420,34.37
315567428,99238.9,315507420,34.37
315582428,99241.7,315507420,34.37
315597436,99236.4,315507420,34.37
315597436,99236.4,315507420,34.37
